Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
77,6,50,B,POA,A0,F0,P1,NA,NA,5,0.002293096,2.502762137,0.001643062,0.002967154,2.341909058,2.66548745,0.680014735,0.745833333,0.009792178,38.15,0.96,39.73958333,-6.535198423,-4.123571429,0.041428571,6.165818376,3.485923365,797,77,11.75034428,7.583606594,1.430536602,0.166666667
78,2,50,B,FAB,A0,F1,P0,FF,F1,5,0.002358049,2.454946411,0.001014246,0.00381201,2.129431136,2.788423468,0,0.516666667,0.343344074,40.74,1.12,36.375,-9.899781756,-1.533571429,0.201428571,5.734566339,3.606749333,489,73,38.9444512,22.0897733,-0.434646416,0
79,3,50,B,POA,A0,F0,P1,NA,NA,5,0.002433398,2.473082794,0.001293945,0.003652153,2.197133605,2.754662487,0,0.364166667,0.044773285,39.46,0.99,39.85858586,-6.416195898,-2.813571429,0.071428571,6.2644062,3.000370259,877,76,36.54924772,23.54833291,0.875834933,0
80,6,50,B,OVER,A1,F1,P1,NA,NA,5,0.002383739,2.462407923,0.001236957,0.003610084,2.184331836,2.746255295,0,0.81,0.263997411,39.19,1.14,34.37719298,-11.89758877,-3.083571429,0.221428571,5.820940758,3.152682079,554,77,37.19428532,23.97022365,5.293579124,0
81,6,50,C,OVER,A1,F1,P1,NA,NA,5,0.002756893,2.502990904,0.001503181,0.004112859,2.199972156,2.812686013,0,0.374,0.222377867,30.02,0.86,34.90697674,-11.36780501,-12.25357143,-0.058571429,5.823726775,3.039360356,573,36,37.97268255,23.00117903,-0.69434147,0
82,6,50,C,OVER,A1,F1,P1,NA,NA,5,0.002850987,2.515381173,0.002370134,0.003346472,2.401660403,2.630019205,0,0.808,0.28315051,40.73,1.26,32.32539683,-13.94938493,-1.543571429,0.341428571,5.621716589,3.751003091,500,78,36.56111937,22.11221664,7.330524501,0
83,1,50,C,FAB,A0,F1,P0,NA,NA,5,0.002587796,2.493047453,0.002190772,0.002994271,2.39803356,2.58871108,0,0.55,0.3487,39.99,1.28,31.2421875,-15.03259426,-2.283571429,0.361428571,5.940753913,3.617986539,638,66,38.99861012,22.02462233,1.20849562,0
84,2,50,C,POA,A0,F0,P1,PP,F0,5,0.002752881,2.461160087,0.00233333,0.003183406,2.36377656,2.559233162,0,0.16,0.046989894,40.81,1.07,38.14018692,-8.13459484,-1.463571429,0.151428571,5.578527235,3.634305419,433,61,35.97486909,22.63379708,-2.956924337,0
85,3,50,C,OVER,A1,F1,P1,NA,NA,5,0.001583543,2.463333148,0.000841175,0.002351742,2.269566376,2.659958843,0.53083049,0.618,0.134323262,39,0.99,39.39393939,-6.880842362,-3.273571429,0.071428571,6.256058036,3.693527347,929,73,17.7388182,11.1133303,1.799625766,0.333333333
86,3,50,C,POA,A0,F0,P1,NA,NA,5,0.001693246,2.458981371,0.001049754,0.002356796,2.293886818,2.626129324,0.803317875,0.61,0.006156176,39.46,1.06,37.22641509,-9.048366662,-2.813571429,0.141428571,5.799384008,3.700688508,565,74,7.121379579,4.680704952,-1.280288072,0.333333333
87,6,50,C,POA,A0,F0,P1,NA,NA,5,0.001808147,2.467462049,0.001450627,0.002171973,2.376409906,2.559131409,0.677475908,0.504,0.01016282,39.86,1.01,39.46534653,-6.809435221,-2.413571429,0.091428571,5.656338376,3.250001856,485,48,11.85657102,7.65910193,-2.528889526,0.166666667
88,2,50,C,AST,A1,F0,P0,AA,F0,5,0.001603572,2.450835134,0.000826933,0.002408833,2.250532524,2.65419116,0,0.864,0.30432331,40.69,0.85,47.87058824,1.595806479,-1.583571429,-0.068571429,5.869871454,3.84709093,542,67,37.75825028,24.3642742,2.354410263,0
89,3,50,C,OVER,A1,F1,P1,NA,NA,4,0.001376165,2.467038474,0.000136902,0.002691954,2.118602587,2.820572452,0,0.334,0.19545951,36.95,1.03,35.87378641,-10.40099535,-5.323571429,0.111428571,5.574564373,2.111957234,479,57,36.13006935,22.46769135,0.191073686,0
90,3,50,C,FAB,A0,F1,P0,NA,NA,5,0.001710903,2.465630767,0.000964921,0.002484103,2.273215517,2.660846401,0,0.607,0.2976223,41.17,1.07,38.47663551,-7.798146242,-1.103571429,0.151428571,5.900934247,3.754832658,616,64,36.5947418,21.91705595,2.86098106,0
91,1,50,C,POA,A0,F0,P1,NA,NA,5,0.001569497,2.439012714,0.000940573,0.002216812,2.276682036,2.603362702,0,0.02,0.0521,41.08,0.86,47.76744186,1.492660104,-1.193571429,-0.058571429,5.80078705,3.629768263,559,60,36.10485855,23.24106098,0.004526923,0
92,2,50,C,OVER,A1,F0,P1,AP,F0,5,0.001742355,2.422547553,0.000555239,0.003001385,2.122476616,2.729636188,0,0.534,0.064715328,41.85,0.99,42.27272727,-4.002054483,-0.423571429,0.071428571,5.595236906,3.821777914,454,71,37.38843339,23.70142601,-2.303872656,0
93,1,50,C,AST,A1,F0,P0,NA,NA,5,0.001396498,2.412427605,0.000297224,0.00255036,2.128383177,2.702816297,0,0.44,0.2922,36.77,0.84,43.77380952,-2.500972232,-5.503571429,-0.078571429,5.93547291,1.920068609,618,44,37.03584721,23.75017353,-0.884685688,0
94,2,50,C,OVER,A1,F1,P0,AF,F1,5,0.001626614,2.435098418,0.000837378,0.002445576,2.233543069,2.639748357,0,1.078,0.31809236,38.57,0.91,42.38461538,-3.890166371,-3.703571429,-0.008571429,6.01156945,2.370656208,638,63,38.19901032,23.78593438,8.024769867,0
95,1,50,C,AST,A1,F0,P0,NA,NA,5,0.001462802,2.447436233,0.000357159,0.002624772,2.159205906,2.742068631,0,0.054,0.2853,37.02,0.99,37.39393939,-8.880842362,-5.253571429,0.071428571,5.906282352,3.173496849,571,60,37.40345829,24.24318342,-2.084325461,0
96,2,50,C,FAB,A0,F1,P0,FF,F1,5,0.001837776,2.461049927,0.000970601,0.002743422,2.239748352,2.686064494,0,0.68,0.297699285,40.99,1.12,36.59821429,-9.67656747,-1.283571429,0.201428571,5.701046791,2.664336401,456,64,36.61111076,21.91877138,3.097338694,0
97,6,50,C,FAB,A0,F1,P0,NA,NA,5,0.001967621,2.444171169,0.000804985,0.00320379,2.153710376,2.741073174,0,0.883,0.302061543,40.4,0.95,42.52631579,-3.748465967,-1.873571429,0.031428571,5.922101736,3.315566329,629,47,36.79284644,21.92687325,4.147805401,0
98,1,50,C,POA,A0,F0,P1,NA,NA,5,0.002093766,2.461605104,0.001697044,0.002498911,2.363408538,2.560515819,0,0.24,0.0588,38.59,1.13,34.15044248,-12.12433928,-3.683571429,0.211428571,5.835368304,3.384336094,572,63,36.45336404,24.65531483,2.69588421,0
99,2,50,C,OVER,A0,F1,P1,FP,F1,5,0.002515878,2.428669855,0.001508177,0.003586515,2.190596116,2.671023185,0,0.162,0.084327009,39.57,1,39.57,-6.704781756,-2.703571429,0.081428571,6.112645523,3.188359685,807,68,36.19660129,22.08234839,-4.033736217,0
100,1,50,C,FAB,A0,F1,P0,NA,NA,5,0.001991174,2.401715978,3.76E-05,0.004166258,1.922625043,2.899106152,0,0.68,0.2981,40.76,1.53,26.64052288,-19.63425888,-1.513571429,0.611428571,5.78907574,3.545664133,504,63,36.58480668,21.90809701,-0.854885918,0
101,6,150,C,OVER,A1,F1,P1,NA,NA,5,0.002481103,2.46883845,0.001312022,0.003734477,2.184939021,2.758756287,0,0.296,0.256452474,40.25,1.05,38.33333333,-7.941448423,-2.023571429,0.131428571,5.729357939,1.808340224,539,51,38.30571089,22.73904038,-1.035078182,0
102,6,150,C,OVER,A1,F1,P1,NA,NA,5,0.00338996,2.501985449,0.002167781,0.004722257,2.22494332,2.784537536,0,0.441,0.275221655,36.36,1.18,30.81355932,-15.46122243,-5.913571429,0.261428571,5.902131647,2.446295075,596,63,36.55520796,22.10455808,1.295561304,0
103,1,150,C,FAB,A0,F1,P0,NA,NA,5,0.002966233,2.470863325,0.001810162,0.00421347,2.201983135,2.745060267,0,0.704,0.3487,40.4,1.35,29.92592593,-16.34885583,-1.873571429,0.431428571,5.883759071,2.932110141,618,51,38.99861012,22.02462233,3.221767894,0
104,2,150,C,POA,A0,F0,P1,PP,F0,5,0.003139438,2.478627516,0.002262026,0.004069979,2.280041453,2.680042689,0,0.144,0.053729524,40.86,1.27,32.17322835,-14.10155341,-1.413571429,0.351428571,6.111500495,1.690399357,801,53,36.24793005,23.7874092,0.912891048,0
105,3,150,C,OVER,A1,F1,P1,NA,NA,5,0.00284115,2.507537726,0.001581392,0.004207337,2.207584687,2.814014814,0.616380278,0.438,0.109800964,40.52,0.93,43.56989247,-2.704889283,-1.753571429,0.011428571,5.939679935,3.510866247,584,68,14.51028559,9.077036628,-5.292153951,0.333333333
106,3,150,C,POA,A0,F0,P1,NA,NA,5,0.002752124,2.508504445,0.002372423,0.003140741,2.418601045,2.598981791,0.781988173,0.5,0.00682381,41.32,1.15,35.93043478,-10.34434697,-0.953571429,0.231428571,5.857459139,2.143184832,607,45,7.893675969,5.188315812,-3.363593725,0.333333333
107,6,150,C,POA,A0,F0,P1,NA,NA,5,0.002559859,2.485839698,0.001795399,0.003359955,2.302644565,2.671462967,0.649993137,0.609,0.010896073,37.76,0.98,38.53061224,-7.744169511,-4.513571429,0.061428571,5.931449482,3.216341809,649,66,12.81086903,8.295486291,2.736537701,0.166666667
108,2,150,C,AST,A1,F0,P0,AA,F0,5,0.001748297,2.493744615,-0.000402432,0.004145617,1.928011235,3.084594845,0,0.7,0.304991939,39.22,1.04,37.71153846,-8.563243295,-3.053571429,0.121428571,5.495288897,3.82361856,422,74,37.81241834,24.42269401,-0.534634459,0
109,3,150,C,OVER,A1,F1,P1,NA,NA,5,0.002316222,2.488666573,0.001906172,0.002735748,2.388312415,2.589748927,0,0.314,0.218626557,40.33,1.09,37,-9.274781756,-1.943571429,0.171428571,5.545591981,2.674982608,417,54,36.07822353,22.39579133,2.870329204,0
110,3,150,C,FAB,A0,F1,P0,NA,NA,4,0.00214934,2.504744771,0.001763321,0.002538564,2.39443279,2.615673875,0,0.546,0.297834341,41.12,1.01,40.71287129,-5.561910469,-1.153571429,0.091428571,6.064571209,3.515018566,703,50,36.55217344,21.90637082,3.301528076,0
111,1,150,C,POA,A0,F0,P1,NA,NA,5,0.002315312,2.477736013,0.001746274,0.002902839,2.338786729,2.618097948,0,1.00E-04,0.0521,38.04,0.96,39.625,-6.649781756,-4.233571429,0.041428571,5.512659699,3.295129006,445,42,36.10485855,23.24106098,0,0
112,2,150,C,OVER,A1,F0,P1,AP,F0,5,0.002318709,2.508152108,-9.69E-05,0.005109218,1.897197023,3.147791527,0,0.379,0.087864695,40.81,1.21,33.72727273,-12.54750903,-1.463571429,0.291428571,5.872011843,2.700106025,556,65,37.35255341,23.70638667,0.310519155,0
113,1,150,C,AST,A1,F0,P0,NA,NA,5,0.002352466,2.483721911,0.002139734,0.002567745,2.432059954,2.53557675,0,0.28,0.2922,40.5,1.03,39.32038835,-6.954393407,-1.773571429,0.111428571,5.631750474,2.827760497,436,82,37.03584721,23.75017353,-1.103939563,0
114,2,150,C,OVER,A1,F1,P0,AF,F1,5,0.002791112,2.529746024,0.001832471,0.003808965,2.297899763,2.765430098,0,1.01,0.319395445,39.23,1.05,37.36190476,-8.912876994,-3.043571429,0.131428571,5.760028132,2.174078328,514,63,38.23305235,23.71094855,6.653480659,0
115,1,150,C,AST,A1,F0,P0,NA,NA,5,0.002805508,2.538087233,0.002240567,0.003390431,2.402491718,2.674968198,0,0.155,0.2853,40.1,1.13,35.48672566,-10.78805609,-2.173571429,0.211428571,5.647388617,3.695458976,447,95,37.40345829,24.24318342,0.347599218,0
116,2,150,C,FAB,A0,F1,P0,FF,F1,5,0.002855289,2.507643958,0.002677565,0.003034978,2.466106096,2.549303626,0,0.604,0.297655794,40.61,1.3,31.23846154,-15.03632022,-1.663571429,0.381428571,5.728153059,3.769772227,523,78,36.61396564,21.91992992,4.345432869,0
117,6,150,C,FAB,A0,F1,P0,NA,NA,5,0.002225086,2.424528655,0.000320283,0.004353236,1.961158687,2.904703943,0,0.883,0.304292935,37.65,1.25,30.12,-16.15478176,-4.623571429,0.331428571,5.369704036,3.880222724,333,77,36.95955444,21.95395723,7.173902571,0
118,1,150,C,POA,A0,F0,P1,NA,NA,5,0.003147886,2.496134783,0.002634166,0.0036793,2.379570148,2.613659159,0,0.058,0.0588,36.99,1.15,32.16521739,-14.10956436,-5.283571429,0.231428571,5.681961796,3.490601444,472,73,36.45336404,24.65531483,-0.776690498,0
119,2,150,C,OVER,A0,F1,P1,FP,F1,5,0.002964376,2.525213566,0.00185202,0.004159755,2.262348413,2.79294231,0,0.308,0.219666076,41.7,1.07,38.97196262,-7.302819139,-0.573571429,0.151428571,5.707783695,2.744568202,521,52,37.42121037,22.34672861,1.955006775,0
120,1,150,C,FAB,A0,F1,P0,NA,NA,5,0.002547503,2.472496469,0.000685574,0.004637547,2.019521713,2.941061571,0,0.52,0.2981,40.95,1.51,27.1192053,-19.15557646,-1.323571429,0.591428571,5.808623627,2.126507381,525,68,36.58480668,21.90809701,2.565181138,0
121,6,150,D,AST,A1,F0,P0,NA,NA,5,0.001942451,2.488617114,0.001341371,0.002562194,2.335103201,2.643875449,0,1.023,0.296871732,40.67,1.04,39.10576923,-7.169012525,-1.603571429,0.121428571,5.867138817,3.40289031,598,61,37.69769841,24.15136322,12.47836686,0
122,1,150,D,FAB,A0,F1,P0,NA,NA,5,0.002687194,2.486230935,0.001837668,0.003582143,2.28482617,2.690559773,0,0.375,0.2837,39.69,0.95,41.77894737,-4.495834388,-2.583571429,0.031428571,5.879830321,2.104319408,583,54,33.63449552,21.60682731,-0.274229708,0
123,1,150,D,FAB,A0,F1,P0,NA,NA,5,0.003184855,2.54900967,0.002295562,0.004128283,2.340014088,2.76103915,0,0.4625,0.2837,37.51,1.33,28.20300752,-18.07177424,-4.763571429,0.411428571,5.774547942,3.277046157,550,61,38.34133264,22.81530039,2.26389294,0
124,2,150,D,FAB,A0,F1,P0,FF,F1,5,0.003026282,2.553177126,0.002287743,0.003800883,2.377487574,2.731015951,0,0.274,0.282942801,37.58,1.13,33.25663717,-13.01814459,-4.693571429,0.211428571,5.542601612,3.094622341,434,70,38.17770457,22.7438052,-0.679528526,0
125,2,150,D,OVER,A1,F0,P1,AP,F0,5,0.002475862,2.519263687,0.001303838,0.003731698,2.227468977,2.81726672,0,0.252,0.043256769,40.35,1.19,33.90756303,-12.36721873,-1.923571429,0.271428571,5.494238731,3.271069732,437,64,37.34731536,23.64658639,-0.295733576,0
126,1,150,D,AST,A1,F0,P0,NA,NA,5,0.002588896,2.491726685,0.001596248,0.003642853,2.251096639,2.73659846,0,0.575,0.2884,40.32,1.09,36.99082569,-9.283956068,-1.953571429,0.171428571,5.56186652,1.941937928,419,65,36.46824418,22.9730132,0.598557217,0
127,6,150,D,OVER,A1,F1,P1,NA,NA,5,0.002391548,2.519043157,0.00208453,0.002703911,2.443288043,2.595207269,0.32514072,0.916,0.206015127,40.33,1,40.33,-5.944781756,-1.943571429,0.081428571,5.719479462,3.335179535,490,60,25.73608769,15.67563018,10.00392321,0.166666667
128,6,150,D,OVER,A1,F1,P1,NA,NA,5,0.002501332,2.483270468,0.002112567,0.002898999,2.389982551,2.57718796,0,0.86,0.263690185,38.27,1.12,34.16964286,-12.1051389,-4.003571429,0.201428571,5.83972209,3.373710872,590,76,38.00280929,22.6163026,4.727275889,0
129,3,150,D,FAB,A0,F1,P0,NA,NA,5,0.002242586,2.515012629,0.001664174,0.002839684,2.370412768,2.661119635,0,0.611,0.333311584,40.67,1.01,40.26732673,-6.007455023,-1.603571429,0.091428571,5.634413463,2.828383319,478,115,38.83478839,22.20117633,-0.286443526,0
130,1,150,D,AST,A1,F0,P0,NA,NA,5,0.002572622,2.53525793,0.001892089,0.003281039,2.367617748,2.704894987,0,0.47,0.2922,40.55,0.99,40.95959596,-5.315185797,-1.723571429,0.071428571,5.42464802,2.67099205,427,106,37.03584721,23.75017353,1.103939563,0
131,3,150,D,AST,A1,F0,P0,NA,NA,5,0.002283118,2.519367214,0.001329911,0.003288279,2.278564862,2.764382413,0,0.5,0.289491333,41.21,0.96,42.92708333,-3.347698423,-1.063571429,0.041428571,5.837465459,3.769647325,571,83,36.54322032,23.18196224,4.98670873,0
132,2,150,D,OVER,A1,F1,P0,AF,F1,5,0.002596543,2.525607766,0.001917756,0.003303334,2.359717806,2.693463621,0,0.69,0.288313489,37.95,1.17,32.43589744,-13.83888432,-4.323571429,0.251428571,5.717891735,3.166334607,565,71,37.6327629,23.32271534,6.992668734,0
133,2,150,D,OVER,A0,F1,P1,FP,F1,5,0.002537862,2.52972803,0.001894243,0.003206121,2.371384737,2.68984934,0,0.33,0.155092768,40.92,0.98,41.75510204,-4.519679715,-1.353571429,0.061428571,5.73621852,3.634669369,525,76,35.24644252,23.35008005,5.918635648,0
134,3,150,D,OVER,A1,F1,P1,NA,NA,5,0.002720063,2.484491828,0.002252763,0.003200822,2.374265626,2.595590085,0,0.678,0.297764713,40.36,1.1,36.69090909,-9.583872665,-1.913571429,0.181428571,5.546897658,2.676618752,417,62,36.60624133,21.96923784,8.167343297,0
135,2,150,D,AST,A1,F0,P0,AA,F0,5,0.00218016,2.441808838,0.001118966,0.003305838,2.182534885,2.70615791,0,0.198,0.288407326,35.58,0.92,38.67391304,-7.600868713,-6.693571429,0.001428571,5.580605781,3.308478233,441,60,36.45230628,22.9717554,-3.199051556,0
136,1,150,D,POA,A0,F0,P1,NA,NA,5,0.002163043,2.506303613,0.000741308,0.003701586,2.144961081,2.877397063,1,0.73,0,33.98,1.05,32.36190476,-13.91287699,-8.293571429,0.131428571,6.160292406,3.286314798,776,50,0,0,-1.659797591,1
137,2,150,D,POA,A0,F0,P1,PP,F0,5,0.003047978,2.493499784,0.001054539,0.005334841,2.024597366,2.97874796,0,0.446,0.032096993,36.13,1.04,34.74038462,-11.53439714,-6.143571429,0.121428571,5.015821336,3.617049698,235,92,36.18217581,23.67903601,-1.136491595,0
138,6,150,D,FAB,A0,F1,P0,NA,NA,5,0.002632463,2.54004983,0.001750284,0.003562477,2.323166021,2.760253357,0,1.099,0.305021123,36.44,1.14,31.96491228,-14.30986948,-5.833571429,0.221428571,5.511037822,4.185646011,395,99,36.98015653,21.95774202,11.42572857,0
139,3,150,D,OVER,A1,F1,P1,NA,NA,5,0.002418898,2.569989649,-0.000226661,0.005531401,1.889909009,3.284702541,0.244088427,0.417,0.216814163,37.48,0.97,38.63917526,-7.635606498,-4.793571429,0.051428571,5.572670149,3.974161415,451,114,28.4889305,18.04898562,-3.845665598,0.333333333
140,1,150,D,POA,A0,F0,P1,NA,NA,5,0.003732329,2.513732132,0.002937507,0.00457436,2.33985922,2.689719752,0,0.16,0.0433,39.59,1.28,30.9296875,-15.34509426,-2.683571429,0.361428571,5.700843148,3.272167436,496,69,35.82537036,22.00220354,-1.570622201,0
141,6,50,D,AST,A1,F0,P0,NA,NA,5,0.002133273,2.479009308,0.000509414,0.00391087,2.069613771,2.901177084,0,0.65,0.296723837,37.65,0.9,41.83333333,-4.441448423,-4.623571429,-0.018571429,5.546226877,3.762544022,419,90,37.72493122,24.16822525,3.36572226,0
142,1,50,D,FAB,A0,F1,P0,NA,NA,5,0.002219231,2.450286696,0.001130327,0.003376781,2.18419164,2.721701218,0,0.28,0.2837,40.14,1.04,38.59615385,-7.67862791,-2.133571429,0.121428571,5.105657077,3.271007857,259,54,33.63449552,21.60682731,-1.372825067,0
143,1,50,D,FAB,A0,F1,P0,NA,NA,5,0.002319078,2.481576731,0.001842686,0.002808282,2.364807719,2.599338514,0,0.37,0.2837,39.93,1.02,39.14705882,-7.127722933,-2.343571429,0.101428571,5.749552351,3.781636794,545,68,38.34133264,22.81530039,-2.26389294,0
144,2,50,D,FAB,A0,F1,P0,FF,F1,5,0.002252036,2.504715538,0.000141742,0.004638577,1.971995515,3.059018976,0,0.30875,0.283575988,41.19,1.03,39.99029126,-6.284490494,-1.083571429,0.111428571,5.937737228,3.77355757,606,84,38.31453415,22.80359113,-1.988448937,0
145,2,50,D,OVER,A1,F0,P1,AP,F0,5,0.001821267,2.490023321,0.000885024,0.002802007,2.246988419,2.737491814,0,0.43,0.030255783,41.86,0.84,49.83333333,3.558551577,-0.413571429,-0.078571429,5.794248948,3.650200504,552,90,37.42844814,23.68499331,-2.903925748,0
146,1,50,D,AST,A1,F0,P0,NA,NA,5,0.001591752,2.441988413,0.000713103,0.002507116,2.215085417,2.672859285,0,0.2,0.2884,39.57,0.96,41.21875,-5.056031756,-2.703571429,0.041428571,5.71582834,4.146271559,522,113,36.46824418,22.9730132,-3.587290129,0
147,6,50,D,OVER,A1,F1,P1,NA,NA,5,0.001859487,2.436515713,0.001076692,0.002673821,2.240187226,2.635777124,0.411083119,0.978,0.18116817,41.44,0.85,48.75294118,2.47815942,-0.833571429,-0.068571429,5.761914495,4.15163323,524,108,22.4778735,13.65803265,7.109097607,0.166666667
148,6,50,D,OVER,A1,F1,P1,NA,NA,5,0.002588723,2.478415511,0.001907767,0.003298034,2.315581787,2.643185731,0,0.87,0.24324774,40.69,1.13,36.00884956,-10.2659322,-1.583571429,0.211428571,5.699823183,3.85951592,492,101,37.87944033,22.71696862,2.115077233,0
149,3,50,D,FAB,A0,F1,P0,NA,NA,5,0.001814984,2.469801104,0.000810048,0.002871762,2.212829505,2.731755052,0,0.413,0.336342563,39.79,0.9,44.21111111,-2.063670645,-2.483571429,-0.018571429,5.862143961,3.690302424,612,82,38.8720711,22.17289469,-0.833506355,0
150,1,50,D,AST,A1,F0,P0,NA,NA,5,0.001575274,2.394391671,0.000308045,0.002920687,2.074488839,2.722388627,0,0.69,0.2922,39.56,0.88,44.95454545,-1.320236302,-2.713571429,-0.038571429,5.692777315,3.909293441,509,84,37.03584721,23.75017353,0.884685688,0
151,3,50,D,AST,A1,F0,P0,NA,NA,5,0.001934088,2.481950226,0.000844586,0.003086765,2.203086837,2.766675711,0,0.668,0.289649014,41,0.87,47.12643678,0.851655026,-1.273571429,-0.048571429,5.432483464,3.460366872,386,69,36.6189164,23.22264841,2.995810162,0
152,2,50,D,OVER,A1,F1,P0,AF,F1,5,0.002317218,2.469141585,0.001942745,0.002699617,2.378211708,2.56067743,0,0.74,0.289223329,40.69,1.01,40.28712871,-5.987653043,-1.583571429,0.091428571,5.809253742,3.794214098,565,79,37.49302374,23.42278416,2.675145515,0
153,2,50,D,OVER,A0,F1,P1,FP,F1,5,0.002378912,2.512442979,0.00144913,0.003359794,2.281930954,2.746815094,0,0.2492,0.213015249,40.35,0.94,42.92553191,-3.349249841,-1.923571429,0.021428571,5.550765309,4.055510984,458,103,34.52044936,22.56494905,-0.15796523,0
154,3,50,D,OVER,A1,F1,P1,NA,NA,5,0.001934593,2.450301976,0.001222828,0.002672847,2.271820812,2.631186146,0,0.545,0.297620243,41.5,0.91,45.6043956,-0.670386152,-0.773571429,-0.008571429,5.532157874,3.73444788,424,81,36.61548132,21.99559356,6.238659381,0
155,2,50,D,AST,A1,F0,P0,AA,F0,5,0.002003773,2.491394675,0.000968555,0.003096826,2.226813593,2.76121044,0,0.142,0.288436471,41.67,0.93,44.80645161,-1.468330143,-0.603571429,0.011428571,5.198299269,3.843018196,298,86,36.38890555,22.96675189,-1.049330394,0
156,1,50,D,POA,A0,F0,P1,NA,NA,5,0.001621016,2.415738893,0.000635582,0.002653485,2.165854211,2.67046098,1,0.58,0,32.41,0.89,36.41573034,-9.859051419,-9.863571429,-0.028571429,NA,3.688083592,NA,82,0,0,-6.639098062,1
157,2,50,D,POA,A0,F0,P1,PP,F0,5,0.002257187,2.476120642,0.000705519,0.003953418,2.090118682,2.873408372,0,0.625,0.032329275,39.81,0.83,47.96385542,1.689073666,-2.463571429,-0.088571429,5.448240226,2.416605444,376,17,36.17477786,23.64426882,-1.082472673,0
158,6,50,D,FAB,A0,F1,P0,NA,NA,5,0.00204864,2.406892097,-3.57E-05,0.004391071,1.899703732,2.93435867,0,0.819,0.305021123,33.83,1.02,33.16666667,-13.10811509,-8.443571429,0.101428571,5.515144663,3.534828254,438,61,36.98015653,21.95774202,8.925769046,0
159,3,50,D,OVER,A1,F1,P1,NA,NA,5,0.001924606,2.470219304,0.001000951,0.002893218,2.235645537,2.708937035,0.429755277,0.695,0.163560312,41.29,0.91,45.37362637,-0.901155382,-0.983571429,-0.008571429,5.202579433,4.081270567,291,87,21.49148506,13.61579736,1.017760679,0.333333333
160,1,50,D,POA,A0,F0,P1,NA,NA,5,0.002713175,2.455097042,0.001117012,0.004481068,2.080470508,2.840200011,0,0.24,0.0433,40.06,1.22,32.83606557,-13.43871618,-2.213571429,0.301428571,5.282215834,3.814229454,313,70,35.82537036,22.00220354,-4.09165215,0
161,1,50,E,FAB,A0,F1,P0,NA,NA,5,0.002530804,2.544706092,0.002017767,0.003059357,2.417875631,2.672668848,0,0.6375,0.3487,38.3,1.13,33.89380531,-12.38097645,-3.973571429,0.211428571,5.52496042,3.718206016,422,91,38.99861012,22.02462233,-1.20849562,0
162,2,50,E,OVER,A0,F1,P1,FP,F1,5,0.002025102,2.473736313,0.000477096,0.003707741,2.080081006,2.879260378,0,0.0676,0.270545632,34.48,1.28,26.9375,-19.33728176,-7.793571429,0.361428571,5.246712138,3.590224292,316,96,35.51061779,21.57880489,-1.051773053,0
163,3,50,E,OVER,A1,F1,P1,NA,NA,5,0.002164232,2.495722376,0.000858124,0.003568589,2.16773611,2.831691098,0,0.4625,0.188238336,38.66,0.87,44.43678161,-1.838000147,-3.613571429,-0.048571429,5.483726347,3.7184815,417,120,35.82157325,22.39290003,0.176094712,0
164,6,50,E,OVER,A1,F1,P1,NA,NA,5,0.002429823,2.486620212,0.001953256,0.002919619,2.371013619,2.603197675,0,1.1019,0.291490105,41.03,1.28,32.0546875,-14.22009426,-1.243571429,0.361428571,5.569013491,3.987483144,447,105,36.93502213,22.75759018,11.66392486,0
165,3,50,E,AST,A1,F0,P0,NA,NA,5,0.002016352,2.568993011,0.000889201,0.003211503,2.270539549,2.873868494,0,0.93,0.297051436,39.89,0.94,42.43617021,-3.838611543,-2.383571429,0.021428571,5.495496578,3.683936811,427,78,37.77802802,24.23022142,11.39934511,0
166,3,50,E,POA,A0,F0,P1,NA,NA,5,0.002390737,2.490271335,0.002185528,0.00259833,2.440433121,2.540288299,0,0.9225,0.030400018,40.89,1.15,35.55652174,-10.71826002,-1.383571429,0.231428571,5.253374828,3.720469275,329,69,36.61331109,23.70003507,0.753919858,0
167,1,50,E,AST,A1,F0,P0,NA,NA,5,0.002146028,2.51257064,0.001555029,0.002756013,2.362866495,2.66390414,0,0.087525,0.2887,41.38,0.84,49.26190476,2.987123006,-0.893571429,-0.078571429,5.656735297,3.563287015,464,63,35.81562454,22.9215093,0.667684551,0
168,1,50,E,AST,A1,F0,P0,NA,NA,5,0.001919304,2.454727481,0.000597211,0.003336025,2.121355929,2.796589176,0,0.8875,0.3058,41.41,0.89,46.52808989,0.253308132,-0.863571429,-0.028571429,4.925266326,3.830682365,223,77,37.87788235,24.49329642,0,0
169,2,50,E,OVER,A1,F0,P1,AP,F0,5,0.002041149,2.427902708,0.000252132,0.004015891,1.98557713,2.885544873,0,0.385,0.099808687,41.82,0.91,45.95604396,-0.3187378,-0.453571429,-0.008571429,4.707088653,3.65683728,198,101,36.19386489,22.52548797,0.471968629,0
