Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
21,6,150,A,OVER,A1,F1,P1,NA,NA,5,0.002925402,2.580557831,0.001486807,0.004504232,2.225659363,2.944304386,0.285663409,0.89925,0.209161954,38.84,1.26,30.82539683,-15.44938493,-3.433571429,0.341428571,5.912776147,3.718344012,613,77,26.50240006,16.30917877,23.92563809,0.166666667
22,3,150,A,AST,A1,F0,P0,NA,NA,5,0.003338104,2.579832233,0.002269483,0.004487946,2.328153219,2.835858549,0,0.765,0.304123441,40.63,1.25,32.504,-13.77078176,-1.643571429,0.331428571,6.1888284,1.427967096,827,38,37.73723262,24.34625712,3.309636141,0
23,1,150,A,FAB,A0,F1,P0,NA,NA,5,0.003890079,2.56963182,0.003125017,0.004699395,2.401347263,2.739828797,0,0.103,0.2706,38.69,1.26,30.70634921,-15.56843255,-3.583571429,0.341428571,5.999494874,2.881707901,633,50,35.51046989,21.57839118,-0.354780723,0
24,6,150,A,AST,A1,F0,P0,NA,NA,5,0.001893755,2.48615793,-0.000756821,0.004951188,1.800417808,3.209413865,0,0.903333333,0.295118506,41.26,1.11,37.17117117,-9.103610585,-1.013571429,0.191428571,6.074300669,3.307179948,679,83,37.63102312,24.04774854,7.57896728,0
25,1,150,A,POA,A0,F0,P1,NA,NA,5,0.002449248,2.487890828,0.001687789,0.003245182,2.303347125,2.674903753,1,0.866666667,0,38.88,1.06,36.67924528,-9.595536473,-3.393571429,0.141428571,6.030455694,2.86612961,710,61,0,0,1.659797591,1
26,1,150,A,AST,A1,F0,P0,NA,NA,4,0.002714707,2.528895898,0.002258837,0.003186646,2.416017297,2.642267928,0,0.29,0.2884,41.37,1,41.37,-4.904781756,-0.903571429,0.081428571,6.324194814,3.818179803,978,82,36.46824418,22.9730132,-0.598557217,0
27,3,150,A,OVER,A1,F1,P1,AF,F1,5,0.003304997,2.573672948,0.0020306,0.004695628,2.271488781,2.882166332,0,0.698383333,0.34797651,39.95,1.18,33.8559322,-12.41884955,-2.323571429,0.261428571,6.077014057,3.769372087,752,71,38.9603289,22.03541215,6.285482095,0
28,3,150,A,FAB,A0,F1,P0,NA,NA,5,0.002913934,2.531844611,0.002611539,0.003222102,2.460623866,2.603419227,0,0.745,0.336618162,40.07,1.25,32.056,-14.21878176,-2.203571429,0.331428571,5.719747486,2.617033165,524,60,38.85732063,22.16169651,6.07345092,0
29,6,150,A,OVER,A1,F1,P1,NA,NA,5,0.002296964,2.486282078,0.001899741,0.002703056,2.388879291,2.584375148,0,0.71,0.281049632,41.28,1.07,38.57943925,-7.695342504,-0.993571429,0.151428571,6.071622362,2.718533975,789,76,36.51753689,22.11423796,18.05978744,0
30,2,150,A,OVER,A1,F1,P0,AF,F1,5,0.002790361,2.533421254,0.002344285,0.003248784,2.426533354,2.641109749,0,0.451833333,0.28410747,41.06,1.32,31.10606061,-15.16872115,-1.213571429,0.401428571,6.143107023,3.020617757,778,67,38.13550265,22.82395578,5.676817256,0
