PLOTNO,BMTOTPLOT.g,deltaY,CE,SE,YEAR
96,777.166418,349.3683384,69.38480561,279.9835328,2020
97,852.551616,574.6224838,98.39564392,476.2268398,2020
98,214.7877991,97.03135441,97.03135441,0,2020
99,69.43682777,-103.9524648,-114.7195648,10.76710002,2020
100,723.7647703,-18.99283029,-18.99283029,-3.55E-15,2020
101,127.8791847,-3.232077581,-21.6383465,18.40626891,2020
102,415.8790763,198.3651467,29.91807012,168.4470765,2020
103,332.0052892,73.97016576,73.97016576,0,2020
104,91.47189867,7.209489795,30.53627591,-23.32678612,2020
105,425.7445326,-54.9971216,-98.35226517,43.35514357,2020
106,256.1472025,-178.135117,-174.1686367,-3.966480247,2020
107,376.1061257,142.3819979,54.23341384,88.14858403,2020
108,357.0875065,78.09111364,-8.147620306,86.23873395,2020
109,138.5638504,32.21426635,101.7431356,-69.5288692,2020
110,697.7154576,411.3295205,74.0680719,337.2614486,2020
112,131.0152735,30.71717045,18.48555682,12.23161363,2020
113,45.87395018,-23.19107339,-23.19107339,0,2020
114,432.6248402,106.1722971,111.9097959,-5.737498794,2020
115,35.92721865,4.590754829,4.590754829,-8.88E-16,2020
116,701.1923162,328.977465,97.19302827,231.7844367,2020
117,793.9084497,560.6450322,165.1566611,395.4883711,2020
118,29.25242654,-27.92357433,-27.92357433,-3.55E-15,2020
119,189.4728741,56.97720157,50.67594168,6.301259894,2020
120,647.7848719,56.99769779,56.99769779,-2.13E-14,2020
121,727.9400099,514.5356142,233.2320043,281.3036099,2020
122,110.5676795,-4.16042946,-4.16042946,-3.55E-15,2020
123,291.0292995,53.21884121,53.21884121,1.42E-14,2020
124,151.4512407,10.25745551,0.183043762,10.07441175,2020
125,112.0386032,29.74811926,3.45829467,26.28982459,2020
126,172.812121,9.689297976,9.689297976,-3.55E-15,2020
127,584.3433032,318.4201025,228.8183911,89.60171144,2020
128,359.1437666,170.1136385,101.6361645,68.47747408,2020
129,241.9726132,25.4765765,-6.395928256,31.87250476,2020
130,92.25609696,23.19107339,23.19107339,0,2020
131,151.6616319,63.24908792,91.02727179,-27.77818387,2020
132,215.7625775,62.32483657,160.4995456,-98.174709,2020
133,189.0354731,103.0834182,152.3911371,-49.30771895,2020
134,773.9117751,462.8499562,210.735478,252.1144781,2020
135,59.33544531,-38.75085887,-56.41803846,17.66717959,2020
136,639.0999616,23.66777287,23.66777287,-1.07E-14,2020
137,185.4893007,3.248667198,-37.91361372,41.16228091,2020
138,929.3616809,696.0982634,263.3115394,432.786724,2020
139,486.0864655,33.40078803,-76.47031169,109.8710997,2020
140,60.37868547,-50.97013142,-50.97013142,7.11E-15,2020
141,514.6905059,280.514125,63.66884322,216.8452818,2020
142,110.5676795,-29.15311582,-29.15311582,-3.55E-15,2020
143,184.5916171,-53.21884121,-53.21884121,7.11E-15,2020
144,161.8344855,-12.91595707,-52.66012743,39.74417036,2020
145,189.7407571,30.5048372,-42.02917733,72.53401453,2020
146,76.07641359,-58.06229423,-58.06229423,0,2020
147,741.6191431,434.9669562,162.117962,272.8489942,2020
148,329.5232153,125.4826667,59.95520245,65.52746421,2020
149,274.3422135,49.87355649,-19.05623829,68.92979478,2020
150,148.0217289,18.59296013,18.59296013,7.11E-15,2020
151,174.2155315,72.82991638,57.1832447,15.64667168,2020
152,207.8572233,24.23760972,60.55421156,-36.31660184,2020
153,126.019238,-2.719382036,-3.546584638,0.827202603,2020
154,779.3586765,389.9380752,199.9890505,189.9490246,2020
155,71.22486509,-16.13917323,-19.32920698,3.190033751,2020
156,426.0914051,-189.3401596,-189.3401596,2.84E-14,2020
157,241.1775172,-18.24612308,-35.88667402,17.64055094,2020
158,929.3616809,651.4325486,209.033206,442.3993426,2020
159,628.107543,173.2861256,9.553914116,163.7322115,2020
160,101.1065184,-132.8335082,-132.8335082,-2.84E-14,2020
161,295.0071236,-27.7498305,-27.7498305,-1.42E-14,2020
162,28.14980713,-83.54061962,-83.54061962,-1.42E-14,2020
